iter	Logloss
0	0.6853842386
1	0.6792603159
2	0.6720319298
3	0.6650899872
4	0.658809879
5	0.6515128283
6	0.6447884164
7	0.6380319983
8	0.6314464662
9	0.6248472881
10	0.618697872
11	0.6127582953
12	0.6066983851
13	0.600652307
14	0.5946500204
15	0.5891058077
16	0.5834642116
17	0.578012606
18	0.5740686432
19	0.5689473966
20	0.5628812216
21	0.5571839868
22	0.5520933818
23	0.5464740536
24	0.5414529196
25	0.5360796548
26	0.5320543739
27	0.527253934
28	0.5223976694
29	0.517510639
30	0.5124922031
31	0.5080542836
32	0.5039866998
33	0.49895254
34	0.4946945935
35	0.490645742
36	0.4851170362
37	0.4805629079
38	0.4770215663
39	0.4732519941
40	0.4689919076
41	0.4644491925
42	0.4604611901
43	0.4573168871
44	0.4542591436
45	0.4505331768
46	0.4471247293
47	0.4437492805
48	0.4406821088
49	0.4363307798
50	0.4330429449
51	0.4297317257
52	0.4265861821
53	0.4232899115
54	0.4204992279
55	0.4171766266
56	0.414188354
57	0.4121900109
58	0.4088625404
59	0.4052833929
60	0.4020367134
61	0.3995549582
62	0.3960840179
63	0.3937779248
64	0.3912703041
65	0.3883696765
66	0.3859368611
67	0.3835566761
68	0.3805715049
69	0.3783001783
70	0.3757428425
71	0.3733243865
72	0.3708459187
73	0.3689741119
74	0.3670680348
75	0.3656242805
76	0.3628557097
77	0.3608995143
78	0.3590860754
79	0.3568883136
80	0.3547613563
81	0.3525367055
82	0.3506789169
83	0.3487994186
84	0.3467025757
85	0.3445593671
86	0.3426580041
87	0.3408164978
88	0.3392297078
89	0.3379716951
90	0.3359604502
91	0.3334993502
92	0.3318518972
93	0.3297089988
94	0.3277364591
95	0.3258223805
96	0.3242218514
97	0.3231386945
98	0.3213552459
99	0.3196199619
100	0.3179318498
101	0.3162418148
102	0.314626244
103	0.3125870557
104	0.3112777462
105	0.3088713235
106	0.306939536
107	0.3053585456
108	0.3035555584
109	0.301821763
110	0.2999098863
111	0.2984879036
112	0.2969339262
113	0.2957123547
114	0.2941245723
115	0.2927906067
116	0.291723546
117	0.2905240563
118	0.2892785111
119	0.2884190257
120	0.2869485995
121	0.2856806933
122	0.2844441732
123	0.2831894789
124	0.281823197
125	0.2809919652
126	0.279822745
127	0.2789773708
128	0.2778775905
129	0.2766620977
130	0.2758085049
131	0.2744004164
132	0.2732380503
133	0.2719548233
